TransactionID,Date,ProductCategory,Price,UnitsSold,CustomerAge,CustomerMembership,Discount,Region,PaymentMethod,IsPromotional,TotalSales
T000022,2025-02-07,Clothing,53.48,4,49.21571116864681,Silver,11.7,West,PayPal,True,188.89
T000023,2025-05-10,Beauty,23.94,5,50.24874267510693,Silver,11.3,East,Credit Card,True,106.17
T000024,2025-01-21,Electronics,218.56,4,55.97493881624332,Platinum,11.6,North,PayPal,True,772.83
T000025,2025-06-10,Sports,49.82,6,50.087961208494896,Gold,8.7,North,PayPal,True,272.91
T000026,2025-02-27,Sports,49.41,4,22.41383212720043,Bronze,3.8,North,Credit Card,True,190.13
T000027,2025-01-22,Electronics,205.94,6,41.88859787994098,Silver,3.2,South,Cash,False,1196.1
T000028,2025-03-30,Beauty,22.84,8,54.00010920092801,Silver,5.6,West,Credit Card,False,172.49
T000029,2025-02-18,Clothing,40.24,4,52.17670965358868,Silver,1.6,North,Credit Card,False,158.38
T000030,2025-02-28,Electronics,227.99,1,70.0,Gold,2.1,South,Credit Card,False,223.2
T000031,2025-06-19,Sports,59.08,4,,Silver,4.9,West,Credit Card,False,224.74
T000032,2025-01-15,Home & Kitchen,72.21,5,25.839172936478697,Bronze,12.6,West,PayPal,True,315.56
T000033,2025-06-24,Home & Kitchen,66.89,6,23.03770082631842,Bronze,4.2,East,Cash,False,384.48
T000034,2025-02-20,Electronics,228.03,3,42.67141886422304,Gold,12.8,South,PayPal,True,596.53
T000035,2025-04-18,Clothing,118.07,4,43.81082771064194,Platinum,9.0,East,Credit Card,True,429.77
T000036,2025-02-24,Sports,36.29,4,35.41927504799238,Silver,7.7,South,PayPal,True,133.98
T000037,2025-03-05,Clothing,45.77,8,51.21754051212837,Bronze,7.3,West,Credit Card,False,339.43
T000038,2025-05-11,Clothing,45.65,4,18.0,Bronze,8.6,South,Digital Wallet,False,166.9
T000039,2025-02-20,Electronics,248.82,2,36.432531482876804,Bronze,13.2,West,PayPal,True,431.95
T000040,2025-05-15,Electronics,208.45,5,18.0,Bronze,3.9,East,Cash,False,1001.6
T000041,2025-01-21,Sports,46.08,7,32.97595633025073,Bronze,5.0,East,Credit Card,False,306.43
T000042,2025-03-14,Clothing,28.71,4,37.83328046555962,Gold,2.9,East,PayPal,False,111.51
T000043,2025-06-16,Beauty,31.43,6,54.61493041846076,Gold,11.3,North,Digital Wallet,True,167.27
T000044,2025-01-18,Clothing,44.53,6,27.338394145867724,Bronze,3.0,South,Credit Card,False,259.16
T000045,2025-05-12,Home & Kitchen,67.7,11,40.36010555618182,Bronze,3.0,West,PayPal,False,722.36
T000046,2025-03-30,Clothing,47.51,5,35.71244268788694,Silver,5.0,South,PayPal,False,225.67
T000047,2025-03-01,Clothing,48.95,5,40.537529950794294,Bronze,11.0,East,PayPal,True,217.83
T000048,2025-01-14,Electronics,274.45,3,37.342959840293545,Silver,14.2,East,Credit Card,True,706.43
T000049,2025-01-09,Clothing,34.5,6,38.95895137117637,Bronze,18.6,West,Credit Card,True,168.5
T000050,2025-03-31,Clothing,22.72,5,34.17951071725629,Platinum,1.0,South,Credit Card,False,112.46
T000051,2025-02-22,Beauty,32.39,4,46.437363837242735,Silver,3.1,West,Credit Card,False,125.54
T000052,2025-05-10,Home & Kitchen,80.57,6,,Gold,7.3,West,Digital Wallet,False,448.13
T000053,2025-03-25,Electronics,250.36,3,42.502385743116626,Gold,2.3,North,Digital Wallet,False,733.81
T000054,2025-04-02,Electronics,283.45,6,66.09974779892724,Silver,7.7,East,Digital Wallet,False,1569.75
T000055,2025-04-21,Electronics,188.02,2,42.94254410659421,Silver,2.4,East,Cash,False,367.02
T000056,2025-06-21,Home & Kitchen,50.6,5,51.6726568406674,Bronze,1.5,South,Credit Card,True,249.2
T000057,2025-01-08,Sports,33.6,10,32.88304144512368,Silver,9.2,South,Digital Wallet,False,305.09
T000058,2025-06-24,Beauty,29.78,6,40.61880671921702,Bronze,3.8,North,Cash,False,171.89
T000059,2025-02-04,Electronics,336.96,4,38.27520821082375,Silver,2.7,East,PayPal,False,1311.45
T000060,2025-03-22,Clothing,35.45,4,27.32814802901452,Bronze,1.5,South,PayPal,False,139.67
T000061,2025-06-13,Clothing,35.93,7,32.77877629187023,Bronze,21.3,East,Cash,True,197.94
T000062,2025-02-19,Home & Kitchen,79.98,8,46.288267669793655,Gold,5.5,North,Digital Wallet,False,604.65
T000063,2025-04-14,Home & Kitchen,76.36,3,57.406923812249204,Platinum,12.1,North,Digital Wallet,True,201.36
T000064,2025-05-12,Home & Kitchen,93.72,11,48.73811920703834,Bronze,9.6,West,Credit Card,False,931.95
T000065,2025-01-02,Home & Kitchen,87.7,3,46.03466942936887,Bronze,3.1,North,Credit Card,False,254.94
T000066,2025-05-14,Electronics,198.65,6,31.70615667892688,Bronze,8.5,North,Credit Card,False,1090.59
T000067,2025-02-23,Sports,55.75,1,47.82617840506619,Bronze,7.8,East,Cash,False,51.4
T000068,2025-04-16,Electronics,173.74,7,34.40976891187783,Bronze,6.6,East,Credit Card,False,1135.91
T000069,2025-01-04,Home & Kitchen,79.98,5,27.93205971555909,Silver,3.8,North,Cash,False,384.7
T000070,2025-02-23,Clothing,33.38,6,31.209924550240544,Bronze,3.7,South,Credit Card,False,192.87
T000071,2025-05-26,Clothing,52.45,3,40.55934577302582,Bronze,8.5,East,Credit Card,False,143.98
T000072,2025-02-13,Beauty,28.76,5,35.52046745323196,Silver,11.9,East,Credit Card,True,126.69
T000073,2025-06-11,Sports,52.17,4,45.45098286654741,Silver,9.6,West,Credit Card,False,188.65
T000074,2025-01-14,Sports,65.24,5,,Silver,7.5,North,Credit Card,False,301.74
T000075,2025-04-05,Clothing,32.89,6,45.33418391038121,Bronze,7.5,West,Cash,False,182.54
T000076,2025-02-17,Home & Kitchen,96.78,2,38.267183626253306,Silver,2.8,West,Digital Wallet,False,188.14
T000077,2025-01-15,Clothing,34.91,5,41.41848678754747,Gold,7.3,West,Credit Card,False,161.81
T000078,2025-02-09,Sports,29.33,9,30.228860467407358,Silver,8.8,West,PayPal,False,240.74
T000079,2025-03-23,Clothing,50.54,6,,Gold,8.8,North,Credit Card,False,276.55
T000080,2025-04-21,Beauty,37.09,5,22.43293194043103,Bronze,0.6,West,Cash,False,184.34
T000081,2025-02-22,Beauty,32.41,6,70.0,Bronze,12.5,West,Digital Wallet,True,170.15
T000082,2025-01-24,Home & Kitchen,93.4,3,47.68589902070184,Silver,3.4,North,Cash,False,270.67
T000083,2025-06-03,Clothing,61.42,3,23.247713672196095,Gold,3.7,East,Credit Card,False,177.44
T000084,2025-05-04,Electronics,252.56,4,43.1875780685361,Silver,16.4,East,Credit Card,True,844.56
T000085,2025-02-10,Sports,67.72,4,44.66849179693833,Silver,3.4,East,Credit Card,False,261.67
T000086,2025-06-06,Electronics,302.61,5,59.911480522547436,Gold,1.9,West,Credit Card,False,1484.3
T000087,2025-01-15,Sports,59.49,6,25.81356095816384,Bronze,19.1,East,Credit Card,True,288.76
T000088,2025-02-14,Clothing,54.9,2,25.827870333150706,Gold,11.8,North,Digital Wallet,True,96.84
T000089,2025-03-06,Clothing,37.02,5,46.13783233670759,Bronze,15.2,North,Digital Wallet,True,156.96
T000090,2025-03-30,Beauty,41.11,5,44.31956310539042,Gold,2.6,South,Credit Card,False,200.21
T000091,2025-03-12,Home & Kitchen,86.86,1,59.606940674457135,Gold,3.0,South,PayPal,False,84.25
T000092,2025-01-09,Home & Kitchen,80.15,4,30.02206581540122,Bronze,5.6,East,Digital Wallet,True,302.65
T000093,2025-03-29,Home & Kitchen,63.61,6,29.037736181654942,Bronze,7.9,North,Credit Card,False,351.51
T000094,2025-05-09,Clothing,43.74,10,64.4420887066097,Silver,8.6,South,PayPal,False,399.78
T000095,2025-05-16,Sports,49.5,4,41.453196411176336,Bronze,8.4,North,Credit Card,False,181.37
T000096,2025-03-04,Clothing,37.99,6,33.05451671119528,Silver,3.9,North,Credit Card,False,219.05
T000097,2025-05-19,Beauty,30.53,6,50.46886799335599,Silver,3.8,East,Credit Card,False,176.22
T000098,2025-03-22,Sports,51.12,5,18.0,Bronze,1.1,North,PayPal,False,252.79
T000099,2025-05-16,Clothing,46.62,7,46.53943356108826,Silver,3.5,West,Cash,False,314.92
T000100,2025-06-12,Home & Kitchen,85.97,4,34.416667105487655,Silver,10.5,East,Credit Card,True,307.77
T000101,2025-06-12,Home & Kitchen,89.34,4,35.97464041771063,Gold,0.8,South,PayPal,False,354.5
T000102,2025-02-02,Clothing,49.39,6,57.5444266702921,Gold,3.5,South,Credit Card,False,285.97
T000103,2025-05-03,Beauty,38.6,3,47.150166149203876,Gold,4.8,East,Cash,False,110.24
T000104,2025-01-05,Electronics,215.61,9,28.46698346994742,Bronze,16.7,East,PayPal,True,1616.43
T000105,2025-02-10,Clothing,46.33,6,42.6175976110109,Silver,7.3,West,Credit Card,False,257.69
T000106,2025-01-28,Clothing,43.32,4,43.40400963757587,Silver,0.4,North,Credit Card,False,172.59
T000107,2025-05-15,Clothing,38.66,7,38.854441941694944,Silver,0.8,West,PayPal,False,268.46
T000108,2025-03-13,Home & Kitchen,82.37,5,30.47675010465292,Bronze,6.5,West,Credit Card,False,385.08
T000109,2025-01-12,Sports,64.79,4,44.72154383972134,Silver,10.2,West,Digital Wallet,True,232.73
T000110,2025-06-11,Home & Kitchen,81.33,6,50.40963036775469,Gold,6.7,North,Digital Wallet,False,455.29
T000111,2025-02-02,Home & Kitchen,80.66,5,47.44472674597157,Gold,8.3,North,Credit Card,False,369.83
T000112,2025-02-17,Electronics,222.86,5,33.44600802713916,Bronze,1.9,East,Digital Wallet,False,1093.13
T000113,2025-05-31,Clothing,42.04,5,40.10684816158687,Bronze,12.3,West,PayPal,True,184.35
T000114,2025-03-03,Electronics,221.07,1,18.0,Bronze,3.8,North,Digital Wallet,False,212.67
T000115,2025-02-06,Clothing,39.84,6,61.180146085319535,Platinum,4.3,East,PayPal,False,228.76
T000116,2025-04-09,Home & Kitchen,95.85,4,34.780487841638546,Bronze,1.8,North,Digital Wallet,False,376.5
T000117,2025-06-21,Electronics,233.38,3,35.75787663476112,Platinum,2.0,West,PayPal,False,686.14
T000118,2025-04-14,Clothing,44.7,6,26.225913760740795,Platinum,,West,Digital Wallet,False,
T000119,2025-02-04,Electronics,233.9,5,52.330937796154366,Gold,2.0,North,Digital Wallet,False,1146.11
T000120,2025-04-11,Beauty,25.29,6,54.33690858664903,Gold,13.3,North,PayPal,True,131.56
T000121,2025-06-24,Beauty,21.22,7,35.163494741459694,Platinum,10.1,South,Credit Card,True,133.54
T000122,2025-05-11,Home & Kitchen,100.78,4,28.346051916014467,Bronze,5.4,East,PayPal,False,381.35
T000123,2025-01-01,Beauty,7.82,4,42.245549365013325,Bronze,0.4,East,Cash,False,31.15
T000124,2025-01-05,Sports,55.83,2,38.047807541928755,Gold,5.2,West,Credit Card,False,105.85
T000125,2025-05-22,Home & Kitchen,45.99,8,50.93176372911643,Bronze,23.0,West,PayPal,True,283.3
T000126,2025-04-13,Electronics,245.16,2,40.42453780720626,Bronze,5.3,South,Digital Wallet,False,464.33
T000127,2025-01-27,Sports,45.87,6,39.569740955685546,Bronze,11.4,North,Digital Wallet,True,243.84
T000128,2025-05-17,Home & Kitchen,95.4,6,,Silver,9.3,South,PayPal,False,519.17
T000129,2025-01-15,Home & Kitchen,87.2,3,23.088096885413833,Bronze,8.3,East,Credit Card,False,239.89
T000130,2025-03-31,Sports,44.76,7,38.26477364273938,Bronze,7.2,East,Cash,False,290.76
T000131,2025-02-11,Clothing,45.94,6,44.30608813687049,Silver,1.2,North,Credit Card,False,272.33
T000132,2025-05-04,Home & Kitchen,73.56,4,36.86651192986234,Silver,14.6,North,Credit Card,True,251.28
T000133,2025-06-28,Beauty,25.32,7,45.36871394609654,Platinum,3.8,East,Credit Card,False,170.5
T000134,2025-03-04,Clothing,54.8,6,44.65924597605303,Bronze,11.5,East,Credit Card,True,290.99
T000135,2025-04-06,Home & Kitchen,56.65,4,52.54920006605654,Silver,2.2,East,PayPal,False,221.61
T000136,2025-02-21,Clothing,53.42,4,38.70776487630205,Bronze,10.1,North,Credit Card,True,192.1
T000137,2025-04-06,Home & Kitchen,76.12,3,18.0,Platinum,4.6,North,PayPal,False,217.86
T000138,2025-05-12,Sports,43.38,6,23.428857487893936,Bronze,2.8,North,Credit Card,False,252.99
T000139,2025-05-31,Electronics,264.04,4,47.56281971901746,Bronze,3.9,West,Credit Card,False,1014.97
T000140,2025-05-23,Home & Kitchen,98.42,2,44.17711643821845,Bronze,14.3,South,Credit Card,True,168.69
T000141,2025-06-20,Electronics,187.89,6,39.289577230103,Silver,1.9,South,Credit Card,False,1105.92
T000142,2025-01-29,Home & Kitchen,97.32,7,40.16048560117603,Silver,1.3,North,Credit Card,False,672.38
T000143,2025-02-05,Clothing,39.43,4,34.2235576208597,Gold,5.8,South,Credit Card,False,148.57
T000144,2025-01-13,Sports,68.05,3,34.26511016273189,Silver,2.6,South,Credit Card,False,198.84
T000145,2025-06-09,Electronics,240.21,8,35.435442696982555,Silver,1.3,West,PayPal,False,1896.7
T000146,2025-03-12,Home & Kitchen,76.28,5,38.649102294699574,Bronze,14.0,West,Digital Wallet,True,328.0
T000147,2025-03-27,Clothing,40.39,5,43.46429525269754,Silver,8.0,West,PayPal,False,185.79
T000148,2025-01-28,Sports,56.96,7,41.080726052059234,Silver,0.3,South,PayPal,False,397.52
T000149,2025-03-07,Beauty,30.74,7,38.06995708779513,Bronze,0.5,East,Credit Card,True,214.1
T000150,2025-06-19,Beauty,29.91,7,50.34847352606161,Gold,1.4,West,Credit Card,False,206.44
T000151,2025-02-14,Sports,53.79,3,52.42889408247483,Silver,1.7,North,Cash,False,158.63
T000152,2025-03-03,Sports,44.55,6,58.06456920143847,Gold,2.9,East,PayPal,True,259.55
T000153,2025-05-14,Electronics,279.0,5,39.73791024889184,Bronze,0.7,South,Credit Card,False,1385.24
T000154,2025-01-28,Clothing,49.57,8,35.75397650717353,Silver,2.6,South,Credit Card,False,386.25
T000155,2025-01-28,Clothing,42.98,7,41.23626238222521,Bronze,2.1,South,Credit Card,False,294.54
T000156,2025-04-18,Sports,39.63,6,35.41711695689688,Bronze,1.6,East,Credit Card,False,233.98
T000157,2025-02-13,Beauty,24.37,6,41.80966551099764,Gold,11.9,South,Credit Card,True,128.82
T000158,2025-03-25,Electronics,286.79,2,46.88423225738132,Silver,4.9,South,Credit Card,True,545.47
T000159,2025-01-30,Beauty,22.98,8,43.27797228285285,Silver,5.2,East,Credit Card,False,174.28
T000160,2025-03-16,Home & Kitchen,83.25,2,,Platinum,3.4,South,Cash,False,160.84
T000161,2025-05-08,Home & Kitchen,86.55,3,49.66385544714676,Silver,7.8,North,Credit Card,False,239.4
T000162,2025-04-02,Electronics,228.69,1,,Gold,12.7,South,Cash,True,199.65
T000163,2025-05-09,Electronics,254.75,6,33.507916364166036,Bronze,6.6,North,Cash,False,1427.62
T000164,2025-05-01,Home & Kitchen,204.24,2,46.011666621463256,Bronze,6.3,North,Credit Card,False,382.75
T000165,2025-01-27,Home & Kitchen,49.08,8,39.71233509157696,Bronze,10.4,West,PayPal,True,351.81
T000166,2025-05-01,Electronics,181.7,5,31.87303974760788,Gold,11.1,East,Credit Card,True,807.66
T000167,2025-04-26,Home & Kitchen,85.08,3,33.364838692643225,Silver,10.2,South,Credit Card,True,229.21
T000168,2025-01-03,Sports,51.74,2,37.12266551689172,Bronze,2.7,West,PayPal,False,100.69
T000169,2025-04-13,Sports,47.72,6,60.87902496136043,Gold,5.6,South,Cash,False,270.29
T000170,2025-06-04,Beauty,30.03,7,53.4377841823585,Silver,15.6,North,Digital Wallet,True,177.42
T000171,2025-05-17,Clothing,36.77,7,31.28089084433647,Platinum,10.3,South,PayPal,True,230.88
T000172,2025-03-03,Clothing,40.79,5,48.534939361027014,Silver,8.7,West,PayPal,False,186.21
T000173,2025-06-14,Home & Kitchen,88.12,4,30.350429756734584,Platinum,5.4,East,PayPal,False,333.45
T000174,2025-02-20,Clothing,25.21,8,34.48427303677603,Bronze,6.2,East,Credit Card,True,189.18
T000175,2025-06-21,Electronics,183.32,6,57.75590065168785,Bronze,22.4,North,Credit Card,True,853.54
T000176,2025-06-01,Clothing,42.16,4,65.80110191319554,Silver,13.0,North,Credit Card,True,146.72
T000177,2025-02-28,Clothing,58.43,3,19.277223635729335,Gold,1.8,East,Credit Card,False,172.13
T000178,2025-04-28,Clothing,50.94,6,42.36917338243206,Silver,2.6,South,Cash,False,297.69
T000179,2025-06-09,Clothing,49.02,6,46.89158047020947,Gold,10.8,North,Credit Card,True,262.36
T000180,2025-04-06,Clothing,53.92,2,38.7054278584907,Bronze,14.5,West,Credit Card,True,92.2
T000181,2025-06-29,Electronics,229.64,4,43.687344027571456,Silver,14.3,North,Digital Wallet,True,787.21
T000182,2025-04-23,Home & Kitchen,95.82,5,37.132695189581405,Silver,3.5,North,Credit Card,False,462.33
T000183,2025-03-03,Home & Kitchen,71.36,4,49.52880472202208,Silver,15.8,North,Digital Wallet,True,240.34
T000184,2025-02-21,Home & Kitchen,85.0,3,37.89910635897624,Silver,6.0,South,Credit Card,False,239.7
T000185,2025-01-12,Electronics,198.63,3,48.711556897668245,Silver,9.7,South,PayPal,False,538.09
T000186,2025-02-08,Clothing,57.92,3,53.82488254121349,Gold,9.1,South,Credit Card,False,157.95
T000187,2025-05-10,Home & Kitchen,74.52,3,52.13858248516319,Silver,6.4,West,Credit Card,True,209.25
T000188,2025-05-11,Home & Kitchen,68.62,5,39.7920942817086,Bronze,2.7,North,Cash,False,333.84
T000189,2025-04-23,Clothing,50.16,4,18.0,Bronze,4.6,East,PayPal,False,191.41
T000190,2025-04-11,Clothing,40.48,7,47.87844095483554,Silver,12.5,South,Digital Wallet,True,247.94
T000191,2025-04-23,Beauty,25.78,4,24.651967338898608,Bronze,8.1,South,Cash,False,94.77
T000192,2025-03-22,Clothing,31.13,7,47.548107177707564,Silver,6.3,West,PayPal,False,204.18
T000193,2025-04-23,Clothing,48.96,4,46.5923206042265,Bronze,9.3,East,Credit Card,False,177.63
T000194,2025-01-02,Home & Kitchen,85.14,5,39.51256823577832,Bronze,7.5,East,PayPal,False,393.77
T000195,2025-05-10,Clothing,39.29,4,42.80186457090324,Bronze,13.0,North,PayPal,True,136.73
T000196,2025-02-23,Clothing,34.75,5,59.45754008332058,Gold,0.9,North,PayPal,False,172.19
T000197,2025-03-28,Clothing,57.58,8,57.5451335066384,Platinum,2.0,North,Credit Card,False,451.43
T000198,2025-05-09,Sports,68.76,3,37.78316708618739,Gold,10.8,East,Credit Card,True,184.0
T000199,2025-05-27,Clothing,46.31,7,19.324300232081907,Platinum,5.2,North,Digital Wallet,True,307.31
T000200,2025-05-06,Electronics,319.86,4,60.85134365661453,Bronze,4.0,South,Credit Card,False,1228.26
T000201,2025-05-10,Clothing,62.29,3,23.063954876749555,Bronze,3.8,South,Credit Card,True,179.77
T000202,2025-02-22,Sports,60.86,3,43.0944599302972,Silver,9.3,West,PayPal,False,165.6
T000203,2025-06-21,Electronics,212.83,3,41.1192000138999,Silver,3.9,South,Digital Wallet,False,613.59
T000204,2025-06-09,Beauty,26.84,6,47.224218344898645,Bronze,5.1,West,Credit Card,False,152.83
T000205,2025-06-09,Clothing,35.99,6,57.5916818241878,Gold,5.7,East,Cash,False,203.63
T000206,2025-03-09,Beauty,38.83,4,42.72725309168717,Silver,4.3,South,Credit Card,False,148.64
T000207,2025-05-03,Beauty,28.52,7,35.94326541916554,Platinum,5.6,East,Credit Card,False,188.46
T000208,2025-05-25,Clothing,58.65,5,45.41571732695894,Gold,22.4,North,Digital Wallet,True,227.56
T000209,2025-02-07,Electronics,292.32,5,25.64374716581044,Bronze,3.0,West,Digital Wallet,False,1417.75
T000210,2025-01-24,Electronics,275.46,4,33.791460860904586,Bronze,9.7,East,Credit Card,False,994.96
T000211,2025-03-10,Electronics,355.9,2,39.46101838708873,Silver,7.9,South,Digital Wallet,False,655.57
T000212,2025-04-26,Home & Kitchen,70.16,8,48.516954272824876,Bronze,7.3,West,PayPal,False,520.31
T000213,2025-04-08,Clothing,37.93,5,58.63652704744038,Bronze,3.4,South,Credit Card,True,183.2
T000214,2025-05-19,Clothing,47.19,6,54.97533481975715,Platinum,5.6,South,PayPal,False,267.28
T000215,2025-05-24,Clothing,54.03,3,53.04762563921395,Gold,4.6,South,Digital Wallet,False,154.63
T000216,2025-04-07,Beauty,17.91,6,55.105224156809975,Gold,1.7,West,PayPal,False,105.63
T000217,2025-05-04,Electronics,291.43,3,49.069600219440204,Gold,20.3,West,Digital Wallet,True,696.81
T000218,2025-03-11,Electronics,195.58,6,42.930237104658104,Bronze,2.3,West,PayPal,False,1146.49
T000219,2025-04-03,Electronics,130.54,2,29.998863773816485,Silver,13.3,South,Credit Card,True,226.36
T000220,2025-01-03,Beauty,34.72,6,42.381673539590516,Silver,7.3,South,Cash,False,193.11
T000221,2025-05-28,Home & Kitchen,112.61,3,22.290168600660632,Silver,8.9,North,PayPal,False,307.76
T000222,2025-06-13,Clothing,40.2,6,35.73525095070913,Bronze,7.0,North,PayPal,False,224.32
T000223,2025-05-27,Electronics,278.83,2,42.778447667938046,Gold,7.1,North,Digital Wallet,False,518.07
T000224,2025-03-31,Clothing,57.02,3,42.71605874534137,Gold,1.9,West,PayPal,False,167.81
T000225,2025-05-27,Electronics,301.19,3,34.44897697675227,Silver,8.9,South,Cash,False,823.15
T000226,2025-05-28,Beauty,33.83,6,21.314653821337664,Bronze,7.5,North,Digital Wallet,False,187.76
T000227,2025-04-06,Sports,70.31,4,35.26918069272903,Platinum,0.9,South,Credit Card,False,278.71
T000228,2025-02-21,Clothing,45.31,5,38.93863468920493,Bronze,4.4,West,Credit Card,False,216.58
T000229,2025-06-10,Sports,59.05,4,44.2707226429344,Bronze,0.5,East,Credit Card,True,235.02
T000230,2025-06-17,Electronics,171.94,3,50.30606863927056,Bronze,3.0,West,Credit Card,False,500.35
T000231,2025-05-08,Home & Kitchen,101.38,2,38.306271296208095,Silver,3.9,West,PayPal,False,194.85
T000232,2025-02-08,Sports,34.38,7,37.38257151148532,Gold,16.5,South,Digital Wallet,True,200.95
T000233,2025-03-23,Clothing,28.47,6,34.32227200062442,Silver,4.8,North,Credit Card,False,162.62
T000234,2025-04-14,Sports,36.11,4,41.15620858374368,Silver,0.3,East,PayPal,False,144.01
T000235,2025-05-09,Clothing,72.85,7,53.21239145802323,Platinum,4.7,South,Digital Wallet,False,485.98
T000236,2025-01-11,Clothing,28.75,3,29.433950370013072,Bronze,5.6,West,Digital Wallet,False,81.42
T000237,2025-06-27,Electronics,239.59,4,18.45554377434704,Platinum,11.4,South,Credit Card,True,849.11
T000238,2025-05-31,Clothing,49.17,6,44.51044487913853,Platinum,2.4,South,Credit Card,False,287.94
T000239,2025-06-08,Home & Kitchen,88.33,5,56.10871110568519,Silver,7.1,East,PayPal,False,410.29
T000240,2025-02-11,Beauty,28.99,6,45.6736696947975,Bronze,0.5,North,Digital Wallet,False,173.07
T000241,2025-04-09,Home & Kitchen,90.05,6,30.10287059786948,Bronze,18.8,North,Credit Card,True,438.72
T000242,2025-01-07,Sports,56.26,7,,Silver,12.9,West,PayPal,True,343.02
T000243,2025-05-24,Sports,46.62,6,42.666497617521024,Gold,15.8,West,PayPal,True,235.52
T000244,2025-03-31,Electronics,278.03,6,50.58893759957349,Bronze,9.8,North,Digital Wallet,False,1504.7
T000245,2025-04-22,Clothing,43.27,5,31.585603056402213,Bronze,1.4,West,PayPal,False,213.32
T000246,2025-03-01,Electronics,280.59,6,60.88289506437156,Gold,4.8,North,PayPal,False,1602.73
T000247,2025-04-23,Home & Kitchen,64.34,4,37.04507635987661,Silver,7.7,South,Credit Card,False,237.54
T000248,2025-01-02,Beauty,30.22,5,34.08799253151527,Silver,1.8,East,PayPal,False,148.38
T000249,2025-05-09,Electronics,259.6,4,45.45818271696239,Silver,8.9,East,Credit Card,True,945.98
T000250,2025-02-17,Home & Kitchen,108.86,2,25.27446797500309,Bronze,5.0,South,Credit Card,False,206.83
T000251,2025-05-20,Home & Kitchen,96.38,1,66.68763901424222,Gold,5.9,West,PayPal,False,90.69
T000252,2025-02-06,Home & Kitchen,93.69,2,47.59144885095503,Silver,4.0,South,Cash,False,179.88
T000253,2025-06-09,Clothing,59.91,6,38.660569859457624,Silver,12.4,South,Credit Card,True,314.89
T000254,2025-01-09,Clothing,41.24,4,30.17545716523498,Bronze,12.9,North,Credit Card,True,143.68
T000255,2025-04-09,Electronics,230.84,6,39.733665404361446,Silver,2.3,East,Credit Card,False,1353.18
T000256,2025-05-27,Electronics,245.01,3,53.66417456449392,Gold,14.6,North,Cash,True,627.72
T000257,2025-02-17,Electronics,293.2,1,37.40967917184057,Bronze,2.5,North,Cash,False,285.87
T000258,2025-05-11,Home & Kitchen,78.35,6,32.939942528018236,Gold,4.8,South,Digital Wallet,False,447.54
T000259,2025-05-28,Electronics,4911.247676786609,2,50.451644409444974,Bronze,1.2,North,Digital Wallet,False,9704.63
T000260,2025-06-01,Sports,72.08,2,29.406882969888965,Bronze,4.7,North,Credit Card,True,137.38
T000261,2025-02-23,Clothing,40.28,6,44.80803676827188,Silver,1.0,West,Credit Card,False,239.26
T000262,2025-04-30,Home & Kitchen,62.45,9,46.94317222415366,Bronze,2.7,West,Digital Wallet,False,546.87
